[2026-03-23 13:34:57,247: INFO: main: Welcome to our custom log]
[2026-03-23 13:40:06,437: INFO: main: Welcome to our custom log]
[2026-03-23 13:42:21,753: INFO: main: Welcome to our custom log]
[2026-03-24 00:59:26,084: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:11:53,696: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:11:53,714: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 01:12:27,161: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:12:27,164: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 01:28:35,951: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:28:35,960: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 01:51:16,933: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:51:16,938: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 01:54:12,695: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 01:54:12,695: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 01:54:12,711: INFO: 1610329425: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=drive_link into file artfacts/data_ingestion/data.zip]
[2026-03-24 02:58:36,244: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 02:58:36,263: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 02:58:36,277: INFO: common: created directory at:artfacts]
[2026-03-24 02:58:36,286: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 02:58:36,296: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artfacts/data_ingestion/data.zip]
[2026-03-24 02:59:36,875: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 02:59:36,875: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 02:59:36,875: INFO: common: created directory at:artfacts]
[2026-03-24 02:59:36,883: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 02:59:36,892: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artfacts/data_ingestion/data.zip]
[2026-03-24 03:12:25,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 03:12:25,305: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 03:12:25,311: INFO: common: created directory at:artfacts]
[2026-03-24 03:12:25,311: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 03:12:25,311: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 11:28:26,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 11:28:26,236: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 11:28:26,242: INFO: common: created directory at:artfacts]
[2026-03-24 11:28:26,244: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 11:28:26,257: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 12:13:26,410: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 12:13:26,416: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 12:13:26,420: INFO: common: created directory at:artfacts]
[2026-03-24 12:13:26,424: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 12:13:26,428: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 12:14:00,908: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 12:14:00,912: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 12:14:00,921: INFO: common: created directory at:artfacts]
[2026-03-24 12:14:00,925: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 12:14:00,933: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 12:14:20,895: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 12:14:20,900: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 12:14:20,911: INFO: common: created directory at:artfacts]
[2026-03-24 12:14:20,919: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 12:14:20,920: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 12:14:28,599: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 12:14:28,605: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 12:14:28,613: INFO: common: created directory at:artfacts]
[2026-03-24 12:14:28,622: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 12:14:28,629: INFO: 685950355: Downloading data from https://drive.google.com/file/d/1oCJqEB8m1mLRwX8z1LbgQWi4QVUYiPIC/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-24 19:22:19,817: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 19:22:19,841: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 19:22:19,858: INFO: common: created directory at:artfacts]
[2026-03-24 19:22:19,872: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-24 19:26:05,161: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-24 19:26:05,167: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-24 19:26:05,174: INFO: common: created directory at:artfacts]
[2026-03-24 19:26:05,174: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:46:39,376: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:46:39,386: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:46:39,393: INFO: common: created directory at:artfacts]
[2026-03-25 00:46:39,401: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:47:49,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:47:49,999: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:47:50,007: INFO: common: created directory at:artfacts]
[2026-03-25 00:47:50,011: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:48:10,326: INFO: common: yaml file: config\config.yaml loaded successfully]
